MålepunktsID,Fra,Til,Navn,Volum,Enhet,Kvalitet,Opprettet
1,2019-04-27T22:00+02:00[Europe/Oslo],2019-04-27T23:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,799",KWH,PPC,2019-04-28T07:23:55+02:00[Europe/Oslo]
1,2019-04-27T23:00+02:00[Europe/Oslo],2019-04-28T00:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,FPPC,2019-05-02T10:22:49+02:00[Europe/Oslo]
1,2019-04-27T23:00+02:00[Europe/Oslo],2019-04-28T00:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-29T08:59:13+02:00[Europe/Oslo]
1,2019-04-27T23:00+02:00[Europe/Oslo],2019-04-28T00:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,704",KWH,PPC,2019-04-28T07:23:55+02:00[Europe/Oslo]
1,2019-04-28T00:00+02:00[Europe/Oslo],2019-04-28T01:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T00:00+02:00[Europe/Oslo],2019-04-28T01:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T00:00+02:00[Europe/Oslo],2019-04-28T01:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,695",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T01:00+02:00[Europe/Oslo],2019-04-28T02:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T01:00+02:00[Europe/Oslo],2019-04-28T02:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T01:00+02:00[Europe/Oslo],2019-04-28T02:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
